,NVDA
648,56.055
649,56.05
650,56.055
651,56.045
652,56.055
653,56.04
654,56.05
655,56.0599
656,56.065
657,56.04
658,56.06
659,56.08
660,56.18
661,55.995
662,56.02
663,56.1311
664,56.09
665,56.02
666,55.99
667,56.02
668,56.04
669,56.1
670,56.09
671,56.055
672,56.02
673,56.03
674,56.00100000000001
675,55.98
676,56.06
677,56.13
678,56.13
679,56.08
680,56.0364
681,56.045
682,56.085
683,56.09
684,56.1
685,56.09
686,56.08
687,56.07
688,56.1
689,56.085
690,56.055
691,56.1052
692,56.1
693,56.09
694,56.081
695,56.1
696,56.13
697,56.1601
698,56.08
699,56.09
700,56.085
701,56.06
702,56.06
703,56.06
704,56.058
705,56.085
706,56.1158
707,56.105
708,56.07
709,56.075
710,56.08
711,56.035
712,56.07
713,56.075
714,56.07
715,56.055
716,56.06
717,56.08
718,56.075
719,56.075
720,56.05
721,56.12
722,56.18
723,56.1465
724,56.14
725,56.135
726,56.155
727,56.14
728,56.145
729,56.145
730,56.1501
731,56.1587
732,56.165
733,56.165
734,56.16
735,56.166
736,56.165
737,56.175
738,56.17
739,56.165
740,56.175
741,56.17
742,56.145
743,56.155
744,56.135
745,56.14
746,56.135
747,56.135
748,56.1301
749,56.1758
750,56.16
751,56.145
752,56.125
753,56.125
754,56.105
755,56.11
756,56.09
757,56.095
758,56.105
759,56.1
760,56.1
761,56.095
762,56.1
763,56.08
764,56.085
765,56.06
766,56.021
767,56.0
768,55.995
769,56.01
770,56.0
771,56.01
772,56.025
773,56.02
774,56.015
775,56.005
776,56.0
777,55.99
778,55.995
779,56.04
780,56.06
781,56.2
782,56.44
783,56.49
784,56.39
785,56.31
786,56.2925
787,56.28
788,56.2407
789,56.15
790,56.18
791,56.18
792,56.32
793,56.34
794,56.345
795,56.36
796,56.355
797,56.39
798,56.3
799,56.31
800,56.3
801,56.36
802,56.33
803,56.38
804,56.36
805,56.36
806,56.381
807,56.38
808,56.375
809,56.32
810,56.22
811,56.26
812,56.24
813,56.315
814,56.4
815,56.41
816,56.44
817,56.47
818,56.49
819,56.5
820,56.54600000000002
821,56.54
822,56.45
823,56.48
824,56.42
825,56.32
826,56.33
827,56.33
828,56.3562
829,56.35
830,56.36
831,56.37
832,56.33
833,56.3258
834,56.3399
835,56.29
836,56.265
837,56.155
838,56.13
839,56.12
840,56.19
841,56.14
842,56.13
843,56.1
844,56.0963
845,56.07
846,56.0558
847,56.075
848,56.05
849,56.09
850,56.17
851,56.21
852,56.2001
853,56.2
854,56.25
855,56.305
856,56.27
857,56.29
858,56.3301
859,56.29
860,56.31
861,56.3
862,56.28
863,56.29
864,56.23
865,56.19
866,56.1537
867,56.15
868,56.2
869,56.22
870,56.17
871,56.14
872,56.16
873,56.17
874,56.1599
875,56.15
876,56.13
877,56.105
878,56.15
879,56.18
880,56.155
881,56.1338
882,56.15
883,56.18
884,56.18
885,56.181
886,56.21
887,56.23
888,56.22
889,56.21
890,56.19
891,56.17
892,56.195
893,56.2
894,56.21
895,56.2485
896,56.2764
897,56.26
898,56.26
899,56.25
900,56.239
901,56.22
902,56.205
903,56.195
904,56.199
905,56.14
906,56.16
907,56.17
908,56.18
909,56.19
910,56.195
911,56.18
912,56.13
913,56.14
914,56.17
915,56.18
916,56.19
917,56.21
918,56.25
919,56.27
920,56.26
921,56.26
922,56.26
923,56.25
924,56.24
925,56.27
926,56.25
927,56.245
928,56.29
929,56.265
930,56.27
931,56.2537
932,56.25
933,56.255
934,56.245
935,56.21
936,56.22
937,56.2
938,56.2
939,56.2
940,56.21
941,56.22
942,56.24
943,56.27
944,56.2893
945,56.275
946,56.27
947,56.25
948,56.25
949,56.24
950,56.22
951,56.2048
952,56.2
953,56.19
954,56.155
955,56.13
956,56.095
957,56.09
958,56.1
959,56.1
960,56.07
961,56.03
962,56.045
963,56.0548
964,56.055
965,56.06
966,56.055
967,56.045
968,56.0238
969,56.03
970,56.06
971,56.055
972,56.095
973,56.0937
974,56.1256
975,56.11
976,56.065
977,56.055
978,56.07
979,56.06
980,56.089
981,56.09
982,56.06
983,56.08
984,56.08
985,56.105
986,56.14
987,56.115
988,56.14
989,56.11
990,56.105
991,56.1
992,56.0963
993,56.1258
994,56.18
995,56.16
996,56.175
997,56.18
998,56.19
999,56.18
1000,56.19
1001,56.185
1002,56.19
1003,56.2
1004,56.19
1005,56.175
1006,56.17
1007,56.17
1008,56.17
1009,56.155
1010,56.19
1011,56.13
1012,56.133
1013,56.11
1014,56.105
1015,56.11
1016,56.14
1017,56.16
1018,56.15
1019,56.16
1020,56.155
1021,56.155
1022,56.16
1023,56.135
1024,56.145
1025,56.145
1026,56.14
1027,56.13
1028,56.14
1029,56.145
1030,56.15
1031,56.15
1032,56.12
1033,56.13
1034,56.12
1035,56.1399
1036,56.15
1037,56.14
1038,56.113
1039,56.0901
1040,56.12
1041,56.14
1042,56.14
1043,56.14
1044,56.12
1045,56.105
1046,56.107
1047,56.08
1048,56.09
1049,56.08
1050,56.145
1051,56.14
1052,56.08
1053,56.08
1054,56.075
1055,56.1
1056,56.11
1057,56.11
1058,56.125
1059,56.14
1060,56.16
1061,56.17
1062,56.19
1063,56.19
1064,56.16
1065,56.15
1066,56.155
1067,56.18
1068,56.205
1069,56.16
1070,56.14
1071,56.13
1072,56.145
1073,56.131
1074,56.14
1075,56.1599
1076,56.1756
1077,56.2
1078,56.2
1079,56.195
1080,56.22
1081,56.2
1082,56.2
1083,56.22
1084,56.23
1085,56.23
1086,56.24
1087,56.27
1088,56.265
1089,56.26
1090,56.24
1091,56.25
1092,56.255
1093,56.28
1094,56.28
1095,56.255
1096,56.27
1097,56.29
1098,56.27
1099,56.24
1100,56.23
1101,56.2348
1102,56.27
1103,56.2638
1104,56.2574
1105,56.25
1106,56.24
1107,56.23
1108,56.185
1109,56.18
1110,56.18
1111,56.18
1112,56.19
1113,56.2
1114,56.19
1115,56.21
1116,56.21
1117,56.14
1118,56.14
1119,56.14
1120,56.16
1121,56.17
1122,56.17
1123,56.2
1124,56.18
1125,56.165
1126,56.16
1127,56.13
1128,56.11
1129,56.12
1130,56.115
1131,56.17
1132,56.17
1133,56.175
1134,56.14
1135,56.155
1136,56.15
1137,56.1663
1138,56.17
1139,56.165
1140,56.165
1141,56.165
1142,56.16
1143,56.155
1144,56.155
1145,56.15
1146,56.17
1147,56.1562
1148,56.155
1149,56.1337
1150,56.135
1151,56.14
1152,56.16
1153,56.18
1154,56.155
1155,56.18
1156,56.185
1157,56.185
1158,56.19
1159,56.23
1160,56.22
1161,56.22
1162,56.22
1163,56.2
1164,56.21
1165,56.2
1166,56.205
1167,56.2
1168,56.185
1169,56.18
1170,56.18
1171,56.48
1172,56.52
1173,56.42
1174,56.37
1175,56.25
1176,56.16
1177,56.06
1178,55.86
1179,55.87
1180,55.95
1181,56.1
1182,56.15
1183,56.2
1184,56.2
1185,56.2
1186,56.22
1187,56.0
1188,56.032
1189,55.83
1190,55.79
1191,55.86
1192,56.01
1193,55.94
1194,55.95
1195,55.92
1196,55.85
1197,55.83
1198,55.78
1199,55.64
1200,55.68
1201,55.64
1202,55.72
1203,55.6
1204,55.585
1205,55.57
1206,55.54
1207,55.44
1208,55.435
1209,55.455
1210,55.59
1211,55.66
1212,55.69
1213,55.74
1214,55.7497
1215,55.78
1216,55.78
1217,55.74
1218,55.8
1219,55.82899999999999
1220,55.85
1221,55.84
1222,55.81
1223,55.84
1224,55.85
1225,55.84
1226,55.84
1227,55.89
1228,55.9
1229,55.91
1230,55.91
1231,55.9
1232,55.9
1233,55.94
1234,55.9801
1235,56.015
1236,56.0893
1237,56.0693
1238,56.11
1239,56.14
1240,56.15
1241,56.08
1242,56.08
1243,56.083
1244,56.05
1245,56.04
1246,56.065
1247,56.125
1248,56.185
1249,56.21
1250,56.27
1251,56.3
1252,56.27
1253,56.2962
1254,56.255
1255,56.3
1256,56.32
1257,56.29
1258,56.32
1259,56.343
1260,56.3382
1261,56.3093
1262,56.27
1263,56.245
1264,56.205
1265,56.21
1266,56.25
1267,56.28
1268,56.26
1269,56.24
1270,56.21
1271,56.22
1272,56.28
1273,56.3
1274,56.34
1275,56.36
1276,56.37
1277,56.38
1278,56.35
1279,56.35
1280,56.33
1281,56.35
1282,56.34
1283,56.37
1284,56.365
1285,56.4
1286,56.42100000000002
1287,56.45
1288,56.4266
1289,56.46
1290,56.41
1291,56.42
1292,56.46
1293,56.47
1294,56.45
1295,56.44
1296,56.43
1297,56.415
1298,56.42
1299,56.435
1300,56.475
1301,56.49
1302,56.52
1303,56.505
1304,56.5
1305,56.5
1306,56.49
1307,56.5
1308,56.48
1309,56.5
1310,56.49
1311,56.51
1312,56.46
1313,56.41
1314,56.44
1315,56.47
1316,56.45
1317,56.46
1318,56.471
1319,56.47
1320,56.48
1321,56.45
1322,56.45
1323,56.45
1324,56.57
1325,56.67
1326,56.75
1327,56.81
1328,56.85
1329,56.8
1330,56.8208
1331,56.8059
1332,56.8
1333,56.88
1334,56.8799
1335,56.93
1336,56.925
1337,56.99
1338,56.9967
1339,56.99
1340,57.07
1341,57.056
1342,56.985
1343,56.92
1344,56.9168
1345,56.96
1346,56.95
1347,56.93
1348,56.9
1349,56.92
1350,56.94
1351,56.94
1352,56.929
1353,56.93
1354,56.88
1355,56.84
1356,56.82
1357,56.765
1358,56.7999
1359,56.84
1360,56.8051
1361,56.79
1362,56.795
1363,56.75
1364,56.75
1365,56.776
1366,56.74
1367,56.74
1368,56.72
1369,56.75
1370,56.74
1371,56.72
1372,56.74
1373,56.72
1374,56.67
1375,56.68
1376,56.7499
1377,56.77
1378,56.8
1379,56.84
1380,56.8
1381,56.77
1382,56.765
1383,56.7855
1384,56.7158
1385,56.75
1386,56.72
1387,56.72
1388,56.74
1389,56.72
1390,56.73
1391,56.75899999999999
1392,56.787
1393,56.7901
1394,56.8
1395,56.79
1396,56.7854
1397,56.784
1398,56.79
1399,56.78
1400,56.7948
1401,56.79
1402,56.7761
1403,56.8058
1404,56.85
1405,56.85
1406,56.89
1407,56.94
1408,56.91
1409,56.917
1410,56.96
1411,56.95
1412,56.9565
1413,56.9533
1414,56.95
1415,56.95
1416,56.965
1417,56.95
1418,56.9299
1419,56.945
1420,56.8933
1421,56.92
1422,56.9
1423,56.8964
1424,56.91
1425,56.94
1426,56.96
1427,56.935
1428,56.9461
1429,56.95
1430,56.94
1431,56.9599
1432,57.01
1433,57.0058
1434,57.04
1435,57.0793
1436,57.07899999999999
1437,57.1048
1438,57.14
1439,57.12
1440,57.14
1441,57.1061
1442,57.14100000000001
1443,57.18
1444,57.165
1445,57.166
1446,57.16
1447,57.185
1448,57.16
1449,57.1801
1450,57.1799
1451,57.145
1452,57.155
1453,57.14
1454,57.14
1455,57.13
1456,57.135
1457,57.14
1458,57.16
1459,57.18
1460,57.18
1461,57.19
1462,57.2
1463,57.23
1464,57.2
1465,57.21
1466,57.18
1467,57.205
1468,57.18
1469,57.195
1470,57.19
1471,57.1611
1472,57.18
1473,57.19
1474,57.1753
1475,57.11
1476,57.105
1477,57.07
1478,57.08
1479,57.0558
1480,57.01
1481,57.02
1482,57.02
1483,57.01
1484,57.01
1485,56.99
1486,56.99100000000002
1487,56.96
1488,57.01
1489,57.04
1490,57.03
1491,57.03
1492,57.04
1493,57.03
1494,57.025
1495,57.065
1496,57.08
1497,57.11
1498,57.1099
1499,57.0558
1500,57.09
1501,57.08
1502,57.1
1503,57.07100000000001
1504,57.09
1505,57.13
1506,57.1299
1507,57.07
1508,57.06
1509,57.05
1510,57.12
1511,57.17
1512,57.1658
1513,57.14
1514,57.13
1515,57.14
1516,57.18
1517,57.2
1518,57.145
1519,57.1558
1520,57.135
1521,57.16
1522,57.17
1523,57.145
1524,57.11
1525,57.1
1526,57.09
1527,57.095
1528,57.09
1529,57.045
1530,57.055
1531,57.07
1532,57.06
1533,57.06
1534,57.08
1535,57.075
1536,57.07
1537,57.05
1538,57.05
1539,57.05
1540,57.07
1541,57.11
1542,57.11
1543,57.12
1544,57.14
1545,57.16
1546,57.21
1547,57.235
1548,57.155
1549,57.1661
1550,57.1701
1551,57.17
1552,57.145
1553,57.18
1554,57.165
1555,57.17
1556,57.16
1557,57.16
1558,57.17
1559,57.17
1560,57.1
1561,57.4
1562,57.21
1563,57.05
1564,57.1
1565,57.14
1566,56.99
1567,57.08
1568,56.96
1569,56.92
1570,56.94
1571,56.975
1572,57.01
1573,56.97
1574,57.01
1575,57.0
1576,57.0
1577,56.99
1578,56.99
1579,56.98
1580,56.97
1581,57.01
1582,57.0
1583,57.0
1584,56.99
1585,56.99
1586,56.9936
1587,57.0
1588,56.98
1589,56.97
1590,56.96
1591,56.99
1592,57.0
1593,56.98
1594,56.95
1595,56.97
1596,57.0
1597,56.99
1598,56.98
1599,56.99
1600,56.984
1601,56.92
1602,56.8982
1603,56.815
1604,56.79
1605,56.84
1606,56.86
1607,56.89
1608,56.96
1609,56.97
1610,56.95
1611,56.925
1612,56.92
1613,56.91
1614,56.91
1615,56.881
1616,56.93
1617,56.97
1618,56.92
1619,56.905
1620,56.905
1621,56.919
1622,56.89
1623,56.8842
1624,56.89
1625,56.86
1626,56.82
1627,56.75
1628,56.7318
1629,56.75
1630,56.74
1631,56.779
1632,56.83
1633,56.8793
1634,56.889
1635,56.84
1636,56.819
1637,56.84
1638,56.81
1639,56.835
1640,56.84
1641,56.861
1642,56.86
1643,56.88
1644,56.88
1645,56.86
1646,56.845
1647,56.825
1648,56.805
1649,56.82
1650,56.795
1651,56.81
1652,56.82
1653,56.815
1654,56.79
1655,56.8
1656,56.825
1657,56.815
1658,56.84
1659,56.87
1660,56.93
1661,56.96
1662,56.955
1663,56.9
1664,56.865
1665,56.81
1666,56.8
1667,56.79
1668,56.79
1669,56.805
1670,56.81
1671,56.785
1672,56.8048
1673,56.7884
1674,56.7865
1675,56.84
1676,56.81
1677,56.795
1678,56.76
1679,56.75
1680,56.735
1681,56.77
1682,56.7999
1683,56.761
1684,56.76300000000001
1685,56.78
1686,56.7799
1687,56.77
1688,56.74
1689,56.735
1690,56.7394
1691,56.72
1692,56.7265
1693,56.74
1694,56.725
1695,56.74
1696,56.73
1697,56.74
1698,56.74
1699,56.7315
1700,56.74
1701,56.73
1702,56.7
1703,56.7
1704,56.6756
1705,56.7152
1706,56.7
1707,56.72
1708,56.721
1709,56.71
1710,56.69
1711,56.7
1712,56.68
1713,56.665
1714,56.6625
1715,56.68
1716,56.67100000000002
1717,56.68
1718,56.65
1719,56.62
1720,56.59
1721,56.53
1722,56.5
1723,56.535
1724,56.505
1725,56.47
1726,56.48
1727,56.49
1728,56.49
1729,56.4842
1730,56.49
1731,56.4538
1732,56.48
1733,56.48
1734,56.45
1735,56.42
1736,56.425
1737,56.38
1738,56.44
1739,56.48
1740,56.55
1741,56.53
1742,56.515
1743,56.49
1744,56.48
1745,56.515
1746,56.51
1747,56.5
1748,56.5
1749,56.48
1750,56.52
1751,56.53
1752,56.52
1753,56.51600000000001
1754,56.53
1755,56.5
1756,56.47
1757,56.4984
1758,56.49
1759,56.5
1760,56.5
1761,56.4952
1762,56.55
1763,56.575
1764,56.5984
1765,56.58
1766,56.58
1767,56.5663
1768,56.615
1769,56.595
1770,56.59
1771,56.63
1772,56.6436
1773,56.63
1774,56.62
1775,56.59
1776,56.58
1777,56.57
1778,56.57
1779,56.58
1780,56.58
1781,56.555
1782,56.55
1783,56.5537
1784,56.56
1785,56.56
1786,56.55
1787,56.524
1788,56.5
1789,56.495
1790,56.49
1791,56.4538
1792,56.455
1793,56.479
1794,56.45
1795,56.46
1796,56.51
1797,56.4933
1798,56.4899
1799,56.525
1800,56.53
1801,56.515
1802,56.5311
1803,56.54
1804,56.53100000000001
1805,56.515
1806,56.54
1807,56.55
1808,56.53
1809,56.5233
1810,56.51
1811,56.49
1812,56.5
1813,56.53
1814,56.535
1815,56.505
1816,56.53
1817,56.5001
1818,56.4899
1819,56.49
1820,56.4701
1821,56.46
1822,56.425
1823,56.423
1824,56.41
1825,56.3899
1826,56.46
1827,56.465
1828,56.45
1829,56.5099
1830,56.525
1831,56.55
1832,56.55
1833,56.545
1834,56.54
1835,56.545
1836,56.549
1837,56.51
1838,56.545
1839,56.53
1840,56.4899
1841,56.435
1842,56.47
1843,56.48
1844,56.47
1845,56.51
1846,56.52
1847,56.47
1848,56.465
1849,56.4638
1850,56.5
1851,56.505
1852,56.505
1853,56.5
1854,56.5
1855,56.48
1856,56.49
1857,56.515
1858,56.55
1859,56.5366
1860,56.49
1861,56.49
1862,56.5299
1863,56.53
1864,56.55
1865,56.525
1866,56.56100000000002
1867,56.57
1868,56.6
1869,56.59
1870,56.585
1871,56.53
1872,56.56
1873,56.58
1874,56.5699
1875,56.589
1876,56.595
1877,56.6
1878,56.6263
1879,56.625
1880,56.6
1881,56.61
1882,56.6
1883,56.5888
1884,56.61
1885,56.635
1886,56.615
1887,56.635
1888,56.6299
1889,56.61600000000002
1890,56.64
1891,56.64
1892,56.6589
1893,56.6407
1894,56.67
1895,56.655
1896,56.62
1897,56.615
1898,56.62
1899,56.637
1900,56.59
1901,56.615
1902,56.65
1903,56.655
1904,56.645
1905,56.6
1906,56.605
1907,56.61
1908,56.57
1909,56.575
1910,56.57
1911,56.57
1912,56.54
1913,56.56
1914,56.56
1915,56.56
1916,56.56
1917,56.55
1918,56.59
1919,56.593
1920,56.545
1921,56.59
1922,56.5901
1923,56.595
1924,56.575
1925,56.56
1926,56.59
1927,56.605
1928,56.58
1929,56.59
1930,56.615
1931,56.615
1932,56.6073
1933,56.57
1934,56.58
1935,56.59
1936,56.57
1937,56.6
1938,56.6
1939,56.575
1940,56.59
1941,56.59
1942,56.595
1943,56.5962
1944,56.595
1945,56.5985
1946,56.62
1947,56.615
1948,56.6237
1949,56.655
1950,56.73
1951,56.95
1952,56.6562
1953,56.89
1954,56.8296
1955,56.81
1956,56.78
1957,56.75
1958,56.68
1959,56.59
1960,56.615
1961,56.5
1962,56.41
1963,56.46
1964,56.46
1965,56.45
1966,56.46
1967,56.39
1968,56.33
1969,56.43
1970,56.49
1971,56.5
1972,56.45
1973,56.475
1974,56.475
1975,56.41
1976,56.38
1977,56.35
1978,56.33
1979,56.33
1980,56.39
1981,56.285
1982,56.2799
1983,56.27
1984,56.3
1985,56.31
1986,56.3
1987,56.315
1988,56.35
1989,56.3
1990,56.2735
1991,56.235
1992,56.22
1993,56.25
1994,56.34
1995,56.36
1996,56.315
1997,56.24
1998,56.25
1999,56.17
2000,56.19
2001,56.18
2002,56.25
2003,56.24
2004,56.24
2005,56.25
2006,56.16
2007,56.1438
2008,56.16
2009,56.17
2010,56.23
2011,56.22
2012,56.22
2013,56.22
2014,56.25
2015,56.22
2016,56.19
2017,56.22
2018,56.2
2019,56.16
2020,56.19
2021,56.105
2022,56.09
2023,56.0974
2024,56.08
2025,56.06
2026,56.0
2027,56.0
2028,56.02
2029,56.0
2030,55.94
2031,55.93
2032,55.826
2033,55.8
2034,55.7835
2035,55.805
2036,55.69
2037,55.621
2038,55.705
2039,55.7636
2040,55.75
2041,55.77
2042,55.89
2043,55.84
2044,55.82100000000001
2045,55.835
2046,55.74
2047,55.755
2048,55.735
2049,55.71
2050,55.705
2051,55.665
2052,55.64
2053,55.695
2054,55.7
2055,55.78
2056,55.8
2057,55.7625
2058,55.77
2059,55.74
2060,55.7125
2061,55.75
2062,55.78
2063,55.79
2064,55.79
2065,55.7646
2066,55.739
2067,55.74
2068,55.7352
2069,55.78
2070,55.8
2071,55.79
2072,55.78
2073,55.755
2074,55.74
2075,55.735
2076,55.74
2077,55.73
2078,55.73
2079,55.705
2080,55.7
2081,55.73
2082,55.74
2083,55.72
2084,55.765
2085,55.8
2086,55.825
2087,55.805
2088,55.845
2089,55.85
2090,55.89
2091,55.88
2092,55.83
2093,55.84
2094,55.83
