,GOOGL
572,758.0399999999997
573,758.25
574,758.0399999999997
575,758.1599999999999
576,758.0399999999997
577,758.205
578,758.2799999999999
579,758.4199999999997
580,758.93
581,759.0
582,758.93
583,759.075
584,759.1
585,759.2
586,759.0925
587,758.985
588,758.85
589,758.855
590,758.6
591,758.46
592,758.57
593,758.63
594,758.69
595,758.68
596,758.4099999999999
597,758.35
598,758.495
599,758.64
600,758.8999999999999
601,758.96
602,758.8824999999997
603,758.805
604,758.45
605,758.8999999999999
606,758.96
607,758.9985
608,759.46
609,759.6
610,759.7
611,759.585
612,759.6499999999999
613,759.62
614,759.4905
615,759.88
616,759.7043
617,760.0005999999997
618,760.1903
619,760.38
620,760.2699
621,759.88
622,760.0299999999999
623,759.7799999999999
624,759.9739999999997
625,760.115
626,760.35
627,760.4099999999999
628,760.76
629,760.75
630,760.4199999999997
631,760.56
632,760.11
633,760.4199999999997
634,760.255
635,760.4099999999999
636,760.75
637,760.5110000000003
638,760.5
639,760.52
640,760.325
641,760.45
642,760.6984999999999
643,760.9099
644,761.2999999999997
645,760.74
646,761.33
647,761.5499999999997
648,761.6699999999997
649,761.39
650,761.3999999999999
651,760.9199999999997
652,760.61
653,760.82
654,760.81
655,760.95
656,760.64
657,760.3999999999999
658,760.86
659,760.3999999999999
660,760.44
661,759.5499999999997
662,759.64
663,760.2875
664,760.3338999999999
665,759.75
666,759.5499999999997
667,759.8359
668,759.9429499999999
669,760.0499999999997
670,759.5
671,760.48
672,760.68
673,760.69
674,760.89
675,760.57
676,760.73
677,761.89
678,761.8910000000003
679,762.33
680,762.0215
681,762.49
682,762.1549999999999
683,762.25
684,762.19
685,761.96
686,761.94
687,762.01
688,761.7999999999997
689,762.13
690,761.84
691,762.2999999999997
692,762.4927
693,762.63
694,762.49
695,762.3999999999999
696,762.7999999999997
697,762.7884
698,762.34
699,762.84
700,762.77
701,762.81
702,762.46
703,762.5399999999997
704,762.25
705,762.76
706,763.02
707,762.98
708,763.2
709,763.0
710,763.08
711,762.75
712,763.005
713,763.44
714,763.0399999999997
715,762.88
716,762.765
717,763.06
718,763.0449999999997
719,762.6
720,762.5299999999999
721,763.22
722,763.33
723,763.615
724,763.4099999999999
725,763.46
726,763.93
727,763.52
728,763.35
729,763.68
730,763.86
731,764.0299999999999
732,763.85
733,763.95
734,763.711
735,763.72
736,764.3999999999999
737,764.0499999999997
738,763.9199999999997
739,763.77
740,763.73
741,763.69
742,763.44
743,763.6489999999999
744,763.76
745,763.87
746,763.72
747,763.7
748,763.5
749,763.77
750,763.74
751,763.6499999999999
752,763.74
753,763.75
754,763.34
755,764.0399999999997
756,763.6599999999999
757,763.74
758,764.1599999999999
759,764.1661
760,763.57
761,763.8157999999999
762,763.64
763,763.5
764,763.6699999999997
765,763.61
766,762.93
767,762.4418
768,761.6699999999997
769,761.62
770,761.5299999999999
771,762.2
772,762.0
773,761.9099999999999
774,761.985
775,761.74
776,761.48
777,761.2999999999997
778,760.75
779,761.1599999999999
780,761.97
781,768.1749999999997
782,765.97
783,766.74
784,764.6684
785,763.185
786,762.88
787,762.6599999999999
788,761.06
789,760.44
790,760.745
791,759.9563
792,759.62
793,760.83
794,762.9099999999999
795,763.14
796,763.38
797,763.7799999999999
798,763.89
799,764.015
800,764.705
801,764.2899999999997
802,763.9963
803,764.81
804,765.14
805,765.9012
806,765.1699999999997
807,765.1989999999997
808,765.0
809,764.58
810,764.46
811,764.9199999999997
812,765.1599999999999
813,765.68
814,766.25
815,766.57
816,765.93
817,766.455
818,766.341
819,766.31
820,766.1
821,766.1089999999997
822,764.9866
823,765.1699999999997
824,765.2899999999997
825,764.435
826,763.86
827,763.82
828,763.68
829,764.25
830,763.89
831,763.855
832,763.77
833,763.24
834,763.75
835,762.99
836,763.2999999999997
837,762.34
838,761.5399999999997
839,761.0
840,762.2999999999997
841,762.5299999999999
842,762.61
843,762.56
844,762.9249999999997
845,762.77
846,763.52
847,763.0064
848,763.375
849,763.5605
850,763.21
851,763.435
852,763.7431
853,763.87
854,764.11
855,764.6699999999997
856,764.0216
857,763.76
858,764.0249999999999
859,764.005
860,764.4199999999997
861,764.45
862,763.99
863,764.76
864,764.5299999999999
865,764.43
866,763.87
867,763.6699999999997
868,763.97
869,764.43
870,763.09
871,762.7999999999997
872,762.7
873,763.06
874,762.96
875,762.95
876,762.63
877,762.5
878,762.83
879,762.64
880,762.5705
881,762.1142999999997
882,762.1699
883,763.23
884,763.12
885,762.85
886,763.4199999999997
887,764.1
888,763.77
889,763.5989999999997
890,763.6499999999999
891,763.71
892,763.7949999999997
893,763.4199999999997
894,763.51
895,763.2999999999997
896,763.08
897,763.2627
898,763.08
899,763.4199999999997
900,763.7899999999997
901,763.685
902,763.555
903,763.45
904,763.46
905,763.0
906,763.0299999999999
907,763.08
908,763.01
909,762.6749999999997
910,762.77
911,762.73
912,763.01
913,762.64
914,762.685
915,762.96
916,763.01
917,762.49
918,762.83
919,763.07
920,762.93
921,762.1599999999999
922,762.3967
923,762.4456
924,762.145
925,762.36
926,762.1699999999997
927,761.82
928,761.7
929,761.6499999999999
930,761.77
931,761.76
932,761.59
933,761.59
934,761.575
935,761.71
936,761.96
937,762.1699999999997
938,762.2899999999997
939,762.43
940,762.84
941,763.44
942,763.7799999999999
943,763.77
944,763.725
945,763.74
946,763.3999999999999
947,763.3619999999999
948,763.38
949,763.14
950,763.11
951,762.995
952,762.9846
953,762.7899999999997
954,762.57
955,762.5299999999999
956,762.6649999999997
957,762.56
958,762.88
959,762.75
960,762.72
961,762.94
962,762.85
963,762.88
964,762.61
965,762.6
966,762.9099999999999
967,762.19
968,762.25
969,762.26
970,762.1599999999999
971,761.97
972,762.07
973,762.18
974,762.23
975,762.185
976,761.95
977,762.0
978,762.105
979,761.8556
980,762.2
981,762.07
982,761.7899999999997
983,761.64
984,761.62
985,761.325
986,761.23
987,760.52
988,760.5499999999997
989,760.58
990,760.51
991,760.21
992,760.01
993,760.12
994,760.68
995,760.8465999999999
996,761.23
997,761.23
998,761.13
999,760.99
1000,761.35
1001,761.1499999999999
1002,761.31
1003,761.58
1004,761.2899999999997
1005,761.43
1006,761.38
1007,761.35
1008,761.48
1009,761.082
1010,761.35
1011,761.06
1012,760.99
1013,761.225
1014,761.2224999999999
1015,761.5
1016,761.6599999999999
1017,761.82
1018,762.0
1019,761.7799999999999
1020,762.305
1021,762.18
1022,762.5399999999997
1023,762.24
1024,761.5402
1025,762.13
1026,762.23
1027,761.93
1028,762.21
1029,762.38
1030,762.52
1031,762.7999999999997
1032,762.8096
1033,762.502
1034,762.58
1035,762.86
1036,762.9199999999997
1037,762.9199999999997
1038,762.81
1039,762.805
1040,762.45
1041,762.605
1042,762.61
1043,762.44
1044,762.44
1045,762.21
1046,762.35
1047,762.39
1048,762.5
1049,762.7999999999997
1050,763.192
1051,763.68
1052,763.9099999999999
1053,763.97
1054,763.99
1055,763.98
1056,763.59
1057,763.39
1058,763.44
1059,763.12
1060,763.1776
1061,763.1499999999999
1062,763.0
1063,762.8252
1064,762.375
1065,762.4099999999999
1066,762.38
1067,762.46
1068,762.45
1069,762.7907
1070,762.31
1071,762.49
1072,762.56
1073,762.5
1074,762.7
1075,762.93
1076,762.89
1077,763.5
1078,763.27
1079,763.12
1080,762.975
1081,762.97
1082,762.98
1083,763.1172
1084,763.0299999999999
1085,763.01
1086,762.97
1087,763.1
1088,762.9099999999999
1089,762.701
1090,762.76
1091,762.7949999999997
1092,762.83
1093,762.87
1094,762.87
1095,762.74
1096,762.5
1097,762.5399999999997
1098,762.4099999999999
1099,762.2410000000001
1100,762.2899999999997
1101,762.2899999999997
1102,762.44
1103,762.44
1104,762.2899999999997
1105,762.25
1106,762.084
1107,761.6637
1108,761.44
1109,761.48
1110,761.6499999999999
1111,761.93
1112,761.97
1113,762.35
1114,762.09
1115,762.1599999999999
1116,762.1919
1117,762.13
1118,762.0
1119,762.105
1120,762.015
1121,761.85
1122,761.64
1123,761.8474999999999
1124,761.725
1125,761.712
1126,761.885
1127,761.93
1128,762.0499999999997
1129,762.18
1130,762.31
1131,762.57
1132,762.87
1133,763.47
1134,763.12
1135,763.211
1136,763.2
1137,762.97
1138,762.88
1139,762.63
1140,762.6
1141,762.615
1142,762.6
1143,762.6
1144,763.0219999999997
1145,763.5
1146,763.9049999999999
1147,764.065
1148,765.0449999999997
1149,765.13
1150,765.43
1151,765.635
1152,765.68
1153,765.52
1154,765.13
1155,765.35
1156,765.565
1157,765.49
1158,765.18
1159,765.0299999999999
1160,765.475
1161,765.3875
1162,766.02
1163,766.37
1164,766.84
1165,765.835
1166,765.89
1167,765.45
1168,765.62
1169,765.06
1170,765.84
1171,797.44
1172,794.93
1173,792.38
1174,790.855
1175,792.2
1176,790.71
1177,792.69
1178,793.52
1179,791.33
1180,790.6499999999999
1181,793.44
1182,794.36
1183,794.945
1184,796.2029
1185,796.7999999999997
1186,798.48
1187,799.2799999999999
1188,799.11
1189,798.2899999999997
1190,796.5499999999997
1191,797.6
1192,798.2
1193,798.605
1194,798.345
1195,797.76
1196,796.75
1197,797.32
1198,796.99
1199,796.48
1200,795.385
1201,796.49
1202,797.1019999999999
1203,796.13
1204,796.0299999999999
1205,793.4384
1206,792.455
1207,793.2899999999997
1208,794.85
1209,794.1749999999997
1210,794.43
1211,795.23
1212,796.4863
1213,796.9249999999997
1214,797.23
1215,796.99
1216,796.7477
1217,796.97
1218,797.2799999999999
1219,797.72
1220,798.7999999999997
1221,798.908
1222,798.7999999999997
1223,799.23
1224,799.32
1225,799.191
1226,798.6875
1227,798.8999999999999
1228,799.0
1229,799.11
1230,800.47
1231,801.48
1232,801.72
1233,801.3430000000003
1234,801.6389999999999
1235,802.11
1236,802.96
1237,802.63
1238,802.75
1239,802.27
1240,802.745
1241,802.5299999999999
1242,802.51
1243,802.59
1244,802.6499999999999
1245,803.26
1246,802.5501
1247,802.48
1248,802.62
1249,803.0
1250,803.21
1251,803.1599999999999
1252,802.71
1253,801.9789999999997
1254,801.7657
1255,801.7999999999997
1256,801.63
1257,801.25
1258,801.8999999999999
1259,802.57
1260,802.09
1261,802.4393
1262,802.645
1263,803.38
1264,803.5
1265,803.85
1266,803.716
1267,803.1499999999999
1268,802.94
1269,803.1649999999997
1270,802.6649999999997
1271,802.12
1272,802.0299999999999
1273,802.0589999999999
1274,801.695
1275,801.7189999999997
1276,801.8999999999999
1277,802.12
1278,802.73
1279,802.61
1280,802.74
1281,803.13
1282,802.57
1283,803.0
1284,802.64
1285,803.38
1286,803.08
1287,802.82
1288,803.07
1289,802.98
1290,802.51
1291,802.6625
1292,802.72
1293,802.57
1294,802.5499999999997
1295,802.2
1296,802.08
1297,802.44
1298,802.2
1299,802.35
1300,802.77
1301,802.625
1302,802.25
1303,802.5
1304,802.7391
1305,802.7
1306,802.885
1307,802.7654999999999
1308,802.84
1309,803.1699999999997
1310,802.97
1311,802.87
1312,802.8877999999999
1313,802.71
1314,802.59
1315,802.32
1316,802.5
1317,802.47
1318,802.5299999999999
1319,802.33
1320,802.57
1321,802.47
1322,802.5239999999999
1323,802.75
1324,802.6749999999997
1325,802.7899999999997
1326,802.82
1327,802.83
1328,802.61
1329,802.7
1330,802.45
1331,802.33
1332,802.4099999999999
1333,802.82
1334,802.83
1335,802.7688
1336,802.7998999999999
1337,802.69
1338,802.88
1339,802.85
1340,802.6499999999999
1341,802.5
1342,802.638
1343,802.5
1344,802.37
1345,802.2092
1346,801.72
1347,801.85
1348,800.74
1349,800.9099999999999
1350,800.27
1351,800.2
1352,799.688
1353,799.7055
1354,799.7301999999999
1355,800.095
1356,800.07
1357,800.38
1358,800.355
1359,800.615
1360,800.61
1361,800.35
1362,800.1699999999997
1363,799.31
1364,799.1699999999997
1365,799.13
1366,799.2469
1367,799.58
1368,799.14
1369,799.0
1370,799.248
1371,799.24
1372,798.77
1373,798.14
1374,798.02
1375,797.7999999999997
1376,798.555
1377,798.84
1378,798.9199999999997
1379,799.25
1380,799.47
1381,799.31
1382,799.5299999999999
1383,799.6699999999997
1384,799.4824
1385,799.7899999999997
1386,799.88
1387,800.01
1388,800.1
1389,800.19
1390,799.97
1391,800.21
1392,800.1
1393,799.98
1394,799.98
1395,800.13
1396,799.77
1397,799.75
1398,799.75
1399,799.6699999999997
1400,799.6139999999997
1401,799.47
1402,799.72
1403,799.63
1404,799.94
1405,799.6499999999999
1406,799.815
1407,799.99
1408,799.9368
1409,800.21
1410,800.32
1411,800.2999999999997
1412,800.36
1413,800.73
1414,800.9099999999999
1415,801.1699999999997
1416,801.2989999999999
1417,801.2249
1418,801.1649999999997
1419,801.1699999999997
1420,801.09
1421,801.0188
1422,800.5499999999997
1423,799.9396
1424,800.2208
1425,800.57
1426,800.89
1427,800.5
1428,800.5
1429,800.8999999999999
1430,800.94
1431,801.221
1432,801.245
1433,801.12
1434,800.7799999999999
1435,800.37
1436,800.6021
1437,801.12
1438,800.9027999999997
1439,800.695
1440,800.712
1441,801.1499999999999
1442,801.22
1443,801.5499999999997
1444,801.1599999999999
1445,800.81
1446,800.419
1447,800.3610000000001
1448,800.529
1449,800.385
1450,800.61
1451,800.52
1452,800.355
1453,800.44
1454,800.46
1455,800.19
1456,799.955
1457,799.555
1458,799.26
1459,799.44
1460,799.44
1461,799.4099999999999
1462,799.57
1463,799.7029
1464,799.245
1465,799.4099999999999
1466,799.2899999999997
1467,799.0499999999997
1468,798.9149999999997
1469,799.09
1470,799.125
1471,798.82
1472,798.6649999999997
1473,798.7299
1474,798.765
1475,798.0
1476,797.64
1477,797.68
1478,798.31
1479,798.38
1480,798.49
1481,798.715
1482,798.462
1483,798.2799999999999
1484,798.1499999999999
1485,798.4199999999997
1486,798.1499999999999
1487,797.7324
1488,797.3637999999999
1489,797.77
1490,797.96
1491,797.855
1492,797.815
1493,797.85
1494,797.48
1495,797.73
1496,797.73
1497,797.8789999999997
1498,797.1701
1499,796.7899999999997
1500,796.52
1501,796.98
1502,796.475
1503,796.25
1504,794.49
1505,794.335
1506,794.37
1507,794.2999999999997
1508,794.46
1509,794.2
1510,794.2735
1511,794.19
1512,794.0399999999997
1513,793.94
1514,793.58
1515,793.4199999999997
1516,793.37
1517,793.25
1518,792.83
1519,792.3999999999999
1520,792.33
1521,792.62
1522,793.2
1523,792.95
1524,793.265
1525,792.97
1526,793.1146
1527,793.1699999999997
1528,792.9199999999997
1529,792.945
1530,793.24
1531,793.38
1532,793.27
1533,793.7239999999997
1534,794.84
1535,794.7
1536,795.195
1537,794.73
1538,794.84
1539,794.755
1540,795.33
1541,795.5399999999997
1542,795.63
1543,795.6410000000003
1544,796.0399999999997
1545,796.11
1546,796.73
1547,796.83
1548,796.8492
1549,796.76
1550,796.56
1551,796.0249999999999
1552,795.73
1553,795.98
1554,795.919
1555,795.58
1556,794.75
1557,793.87
1558,794.46
1559,794.7
1560,791.34
1561,788.1846
1562,788.14
1563,789.94
1564,790.02
1565,791.0399999999997
1566,792.44
1567,792.26
1568,792.18
1569,792.77
1570,793.77
1571,794.4099999999999
1572,794.2999999999997
1573,794.6599999999999
1574,793.31
1575,793.52
1576,794.5
1577,795.76
1578,797.1358
1579,797.1
1580,796.96
1581,797.46
1582,798.1499999999999
1583,798.25
1584,798.73
1585,799.225
1586,799.48
1587,799.94
1588,799.39
1589,800.3999999999999
1590,800.615
1591,800.6699999999997
1592,801.12
1593,801.47
1594,801.8999999999999
1595,802.6529
1596,802.69
1597,803.0
1598,802.86
1599,802.7204
1600,802.1699999999997
1601,801.36
1602,801.25
1603,800.86
1604,800.63
1605,800.06
1606,800.5
1607,801.02
1608,801.163
1609,801.3999999999999
1610,801.87
1611,802.2
1612,802.195
1613,802.87
1614,803.69
1615,804.2799999999999
1616,805.0
1617,805.98
1618,806.95
1619,806.6599999999999
1620,805.96
1621,806.572
1622,806.61
1623,806.185
1624,806.1699999999997
1625,805.835
1626,804.58
1627,804.0467999999997
1628,804.07
1629,804.0
1630,804.1749999999997
1631,804.51
1632,804.515
1633,805.235
1634,806.0399999999997
1635,806.2899999999997
1636,805.4818
1637,805.5299999999999
1638,805.86
1639,805.9421999999997
1640,806.26
1641,806.22
1642,806.49
1643,806.265
1644,806.43
1645,806.08
1646,806.558
1647,805.83
1648,805.7405
1649,805.965
1650,805.62
1651,805.4199999999997
1652,805.06
1653,804.82
1654,804.7799999999999
1655,804.9199999999997
1656,805.1699999999997
1657,804.93
1658,804.97
1659,804.93
1660,805.1599999999999
1661,805.44
1662,805.23
1663,805.2999999999997
1664,805.57
1665,805.4099999999999
1666,805.77
1667,805.94
1668,805.7
1669,805.7
1670,805.7975
1671,805.5396
1672,805.52
1673,805.6
1674,805.4759
1675,805.13
1676,805.62
1677,806.27
1678,806.7999999999997
1679,807.38
1680,807.1
1681,807.24
1682,807.1495
1683,807.0175
1684,806.71
1685,806.26
1686,806.06
1687,805.5
1688,805.3919999999997
1689,805.35
1690,806.1499999999999
1691,806.515
1692,807.02
1693,806.615
1694,806.86
1695,806.51
1696,806.77
1697,807.2799999999999
1698,806.94
1699,807.26
1700,807.0
1701,806.3739999999997
1702,805.555
1703,806.2
1704,806.23
1705,806.02
1706,805.95
1707,805.9199999999997
1708,805.5075
1709,805.47
1710,805.18
1711,804.9175
1712,804.89
1713,804.345
1714,803.711
1715,803.2899999999997
1716,803.4099999999999
1717,803.24
1718,803.2899999999997
1719,803.1499999999999
1720,802.6699999999997
1721,802.51
1722,802.153
1723,802.0231999999999
1724,802.1348
1725,801.4541
1726,801.45
1727,801.35
1728,801.97
1729,801.72
1730,801.61
1731,801.315
1732,801.59
1733,801.5
1734,801.87
1735,801.6549999999999
1736,802.0499999999997
1737,802.0
1738,802.6649999999997
1739,802.76
1740,803.438
1741,802.83
1742,802.4543
1743,803.26
1744,803.25
1745,803.653
1746,803.7575
1747,804.095
1748,804.0210000000003
1749,804.265
1750,804.35
1751,803.97
1752,803.88
1753,803.6425
1754,803.68
1755,803.1610000000003
1756,802.5
1757,802.97
1758,803.19
1759,803.745
1760,803.83
1761,803.6599999999999
1762,803.43
1763,803.2899999999997
1764,803.19
1765,803.32
1766,803.0299999999999
1767,803.09
1768,802.8999999999999
1769,803.075
1770,803.47
1771,804.13
1772,803.8999999999999
1773,803.2849999999999
1774,803.6499999999999
1775,803.37
1776,803.6889999999999
1777,803.71
1778,803.84
1779,804.0
1780,804.07
1781,804.5
1782,804.7799999999999
1783,804.75
1784,804.75
1785,804.88
1786,805.09
1787,805.25
1788,805.4674999999999
1789,805.21
1790,804.705
1791,804.445
1792,805.26
1793,805.99
1794,805.56
1795,805.5249999999999
1796,805.83
1797,805.5499999999997
1798,805.06
1799,805.56
1800,805.63
1801,805.3999999999999
1802,805.21
1803,805.24
1804,805.35
1805,805.51
1806,805.6699999999997
1807,805.575
1808,805.26
1809,805.32
1810,805.245
1811,804.345
1812,804.081
1813,804.6
1814,804.25
1815,804.0399999999997
1816,804.56
1817,803.8999999999999
1818,803.7371
1819,804.2
1820,804.1599999999999
1821,803.84
1822,803.2799999999999
1823,803.465
1824,802.36
1825,802.44
1826,802.6
1827,802.86
1828,803.0367
1829,804.25
1830,804.6
1831,804.58
1832,804.19
1833,804.0499999999997
1834,804.0349999999999
1835,803.81
1836,804.11
1837,804.0349999999999
1838,803.95
1839,803.86
1840,803.27
1841,802.909
1842,802.4060000000003
1843,802.77
1844,802.7095
1845,802.61
1846,802.83
1847,802.7
1848,802.37
1849,802.36
1850,802.5399999999997
1851,802.5
1852,802.75
1853,803.0
1854,803.2
1855,803.31
1856,803.3213
1857,803.305
1858,803.7425
1859,803.87
1860,803.19
1861,803.35
1862,802.99
1863,802.752
1864,803.0
1865,802.3999999999999
1866,802.84
1867,803.2899999999997
