,AMZN
168,735.7025
169,735.95
170,735.72
171,736.23
172,736.7333
173,736.84
174,736.99
175,736.9374
176,736.98
177,736.909
178,736.58
179,736.2849999999999
180,735.7999999999997
181,736.2799999999999
182,735.955
183,735.9001
184,735.9955999999999
185,735.95
186,735.7799999999999
187,735.81
188,735.82
189,735.59
190,735.365
191,735.25
192,735.34
193,734.6699999999997
194,735.0
195,734.8999999999999
196,734.8999999999999
197,734.805
198,734.94
199,735.19
200,735.22
201,735.1425
202,735.0
203,735.1599999999999
204,735.14
205,734.8999999999999
206,735.01
207,735.33
208,735.0834
209,734.93
210,735.32
211,735.56
212,735.3999999999999
213,735.31
214,735.305
215,735.31
216,735.6499999999999
217,735.26
218,735.2
219,735.19
220,735.22
221,735.0689999999997
222,734.7899999999997
223,734.475
224,734.6499999999999
225,734.26
226,734.6699999999997
227,734.56
228,734.44
229,734.5
230,734.2
231,734.0
232,733.64
233,733.2865
234,733.3297999999999
235,733.2899999999997
236,733.205
237,733.19
238,733.0
239,733.375
240,733.3710000000003
241,734.2573
242,734.0234
243,733.68
244,733.77
245,734.0325
246,734.22
247,734.2899999999997
248,734.6
249,734.56
250,734.69
251,734.68
252,734.805
253,734.765
254,734.57
255,734.585
256,734.4075
257,734.34
258,734.38
259,734.19
260,734.18
261,734.18
262,734.2949999999997
263,734.2799999999999
264,734.18
265,734.0
266,733.76
267,734.0
268,734.12
269,734.18
270,734.395
271,734.37
272,734.39
273,734.61
274,734.43
275,734.315
276,734.0
277,733.58
278,733.6499999999999
279,733.6699999999997
280,733.5
281,733.43
282,733.7333999999997
283,733.48
284,733.6599999999999
285,733.59
286,733.8308
287,733.7719999999997
288,733.9249999999997
289,733.98
290,734.22
291,734.36
292,733.95
293,734.13
294,734.21
295,734.5399999999997
296,735.01
297,734.75
298,734.7669999999997
299,734.88
300,734.5499999999997
301,734.9866
302,734.89
303,734.83
304,734.815
305,734.82
306,734.83
307,734.81
308,734.96
309,734.7999999999997
310,734.87
311,735.13
312,734.945
313,734.8827
314,734.7710000000003
315,734.63
316,734.62
317,734.52
318,734.52
319,734.6699999999997
320,734.61
321,734.6
322,734.2
323,734.2999999999997
324,734.52
325,734.76
326,734.84
327,734.89
328,735.1
329,734.74
330,734.5299999999999
331,734.35
332,734.76
333,734.875
334,734.73
335,734.6699999999997
336,734.709
337,734.4601
338,734.38
339,734.931
340,734.947
341,735.14
342,735.1323
343,735.36
344,735.2899999999997
345,734.98
346,735.13
347,734.73
348,734.85
349,734.77
350,734.33
351,734.47
352,734.6549999999999
353,734.62
354,734.77
355,734.83
356,734.96
357,734.89
358,734.94
359,734.6939999999997
360,734.87
361,734.7799999999999
362,734.9199999999997
363,734.8999999999999
364,734.77
365,734.885
366,734.7849999999999
367,734.75
368,734.7999999999997
369,734.8889999999999
370,734.7610000000003
371,734.8999999999999
372,734.89
373,734.6699999999997
374,734.6519999999997
375,734.64
376,734.87
377,735.0299999999999
378,734.96
379,735.2781999999999
380,735.2256
381,734.83
382,734.93
383,734.57
384,734.7
385,734.8753
386,735.2999999999997
387,735.34
388,735.44
389,735.45
390,735.59
391,737.22
392,735.9389999999999
393,735.44
394,735.33
395,736.06
396,736.18
397,737.0304
398,736.02
399,735.73
400,736.19
401,736.01
402,736.11
403,736.0
404,736.01
405,735.72
406,736.5
407,736.7899999999997
408,737.02
409,736.96
410,737.1798999999999
411,737.7899999999997
412,738.2975
413,738.6764
414,738.88
415,739.725
416,740.21
417,740.6
418,740.61
419,740.11
420,739.51
421,739.1456
422,739.265
423,739.48
424,739.83
425,739.2999999999997
426,739.2899999999997
427,739.68
428,739.06
429,739.039
430,738.56
431,738.225
432,738.72
433,738.5281999999999
434,738.59
435,738.6699999999997
436,738.5399999999997
437,738.57
438,738.6599999999999
439,738.3999999999999
440,737.765
441,737.6
442,736.89
443,736.35
444,736.4989999999997
445,736.6499999999999
446,736.59
447,736.6599999999999
448,736.7949999999997
449,736.96
450,737.22
451,737.395
452,737.6
453,736.9099999999999
454,737.18
455,736.7799999999999
456,737.36
457,737.36
458,737.74
459,737.47
460,737.36
461,736.955
462,736.8535
463,736.5257
464,736.9658
465,736.5
466,736.45
467,736.3999999999999
468,736.19
469,736.22
470,736.2
471,736.14
472,736.73
473,736.69
474,737.12
475,736.8732999999999
476,737.0883999999999
477,737.2708
478,737.47
479,737.49
480,737.475
481,738.0499999999997
482,738.331
483,738.25
484,738.422
485,738.59
486,738.43
487,738.72
488,738.6
489,738.52
490,738.63
491,738.71
492,738.74
493,738.2949999999997
494,738.0010000000003
495,737.965
496,738.02
497,738.5
498,738.44
499,738.44
500,738.07
501,738.25
502,738.3877999999999
503,738.33
504,738.2710000000003
505,738.7
506,739.32
507,739.5
508,739.5299999999999
509,739.1699999999997
510,739.6699999999997
511,739.3098
512,738.9910000000001
513,739.081
514,739.18
515,738.841
516,738.95
517,738.64
518,738.3999999999999
519,738.12
520,737.51
521,737.7799999999999
522,738.06
523,737.5
524,737.7999999999997
525,738.01
526,738.01
527,738.4099999999999
528,738.3999999999999
529,738.2899999999997
530,738.44
531,738.7138
532,738.8053999999997
533,738.6
534,738.4199999999997
535,738.2808
536,738.34
537,738.1599999999999
538,737.8999999999999
539,737.84
540,737.475
541,737.32
542,737.0
543,736.6699999999997
544,737.4099999999999
545,737.21
546,737.0
547,737.0
548,736.77
549,736.8999999999999
550,736.7940999999997
551,736.99
552,736.7799999999999
553,736.89
554,737.08
555,736.9633
556,736.815
557,737.082
558,736.9110000000003
559,736.695
560,736.99
561,736.825
562,736.755
563,736.81
564,736.7799999999999
565,736.9769999999999
566,736.4199999999997
567,736.14
568,735.885
569,736.2799999999999
570,736.21
571,735.7471
572,735.9724
573,735.87
574,735.63
575,735.95
576,735.6
577,735.77
578,735.45
579,734.99
580,735.36
581,735.1
582,735.0499999999997
583,735.5499999999997
584,735.61
585,735.82
586,735.4149999999997
587,735.895
588,735.64
589,735.74
590,736.065
591,736.1549999999999
592,735.995
593,735.98
594,736.1499999999999
595,736.19
596,736.4199999999997
597,736.43
598,736.395
599,736.61
600,736.71
601,736.75
602,736.7
603,736.23
604,736.23
605,736.46
606,736.3401
607,736.0
608,736.0499999999997
609,736.245
610,736.1501
611,736.12
612,736.32
613,736.2799999999999
614,736.1599999999999
615,736.3999999999999
616,736.58
617,736.58
618,736.7799999999999
619,736.7460999999997
620,736.63
621,736.43
622,736.46
623,736.19
624,736.1499999999999
625,736.44
626,736.76
627,736.8389999999997
628,736.76
629,736.93
630,736.73
631,736.33
632,736.45
633,736.1699999999997
634,736.26
635,736.2999999999997
636,736.365
637,736.32
638,736.24
639,736.365
640,736.2849999999999
641,736.19
642,736.682
643,736.7256999999997
644,737.08
645,737.07
646,736.9199999999997
647,737.12
648,737.27
649,737.22
650,736.9149999999997
651,736.87
652,736.7899999999997
653,736.68
654,736.38
655,736.346
656,736.01
657,736.18
658,736.375
659,736.02
660,735.85
661,735.32
662,735.64
663,736.921
664,735.7749999999999
665,735.8699
666,736.07
667,736.1
668,736.27
669,736.38
670,736.1599999999999
671,736.5
672,736.84
673,736.6599999999999
674,736.51
675,736.01
676,736.87
677,737.0449999999997
678,737.6
679,737.82
680,737.3999999999999
681,737.18
682,737.2
683,737.24
684,737.24
685,736.7999999999997
686,736.5399999999997
687,736.57
688,736.2799999999999
689,736.34
690,735.88
691,736.02
692,735.63
693,735.5
694,735.4824999999997
695,735.93
696,735.7949999999997
697,735.89
698,735.7
699,735.75
700,735.57
701,735.4199999999997
702,735.075
703,735.48
704,735.49
705,735.21
706,735.24
707,735.1499999999999
708,734.94
709,735.02
710,734.6599999999999
711,734.5
712,734.4110000000003
713,734.56
714,734.85
715,734.3999999999999
716,734.465
717,734.3999999999999
718,734.14
719,734.06
720,734.315
721,734.44
722,734.59
723,734.69
724,734.84
725,734.98
726,735.0
727,734.81
728,734.97
729,734.83
730,734.88
731,734.99
732,735.07
733,734.88
734,734.4676
735,734.57
736,734.77
737,734.7
738,734.6
739,734.815
740,734.63
741,734.49
742,734.19
743,734.08
744,734.0299999999999
745,734.07
746,734.0399999999997
747,734.12
748,733.94
749,734.08
750,734.0399999999997
751,734.22
752,734.46
753,734.68
754,734.5376
755,734.895
756,734.8999
757,735.2285
758,735.83
759,736.128
760,736.6499999999999
761,736.95
762,737.1312
763,736.35
764,736.645
765,736.72
766,736.36
767,735.93
768,735.6101
769,735.2611
770,735.45
771,735.98
772,736.0449999999997
773,736.34
774,736.6389999999999
775,736.7899999999997
776,736.73
777,736.1089999999997
778,735.62
779,736.13
780,736.6699999999997
781,743.5
782,743.465
783,743.0
784,743.22
785,743.0
786,742.2974
787,741.0692
788,740.2999999999997
789,740.0
790,740.33
791,740.755
792,742.0745
793,743.58
794,743.52
795,744.1
796,743.5872
797,743.93
798,743.8912
799,743.88
800,744.0
801,743.5
802,743.73
803,743.5
804,743.26
805,743.2899999999997
806,742.7999999999997
807,742.47
808,742.185
809,741.89
810,741.63
811,741.9029
812,741.98
813,742.57
814,743.22
815,742.96
816,742.515
817,742.9199999999997
818,742.9099999999999
819,743.0499999999997
820,743.0000999999999
821,743.43
822,742.96
823,742.8325
824,743.2189999999997
825,742.25
826,742.32
827,742.2899999999997
828,742.48
829,742.7
830,742.5499999999997
831,742.6599999999999
832,743.12
833,743.3999999999999
834,743.3148999999999
835,743.185
836,743.35
837,743.2475
838,743.19
839,743.09
840,743.635
841,743.35
842,743.1699999999997
843,743.09
844,743.0499999999997
845,743.105
846,743.12
847,742.5
848,742.25
849,743.0425
850,742.985
851,743.18
852,743.0499999999997
853,743.09
854,743.6549
855,744.1462
856,743.9149999999997
857,744.33
858,744.64
859,744.6987
860,744.84
861,745.0
862,744.83
863,745.0499999999997
864,744.86
865,744.94
866,744.76
867,744.7799999999999
868,745.085
869,745.3999999999999
870,745.33
871,745.4199999999997
872,745.2799999999999
873,745.51
874,745.5440999999997
875,745.81
876,745.7799999999999
877,745.38
878,745.5299999999999
879,745.2949999999997
880,745.0
881,745.0299999999999
882,745.22
883,745.5299999999999
884,745.81
885,746.11
886,746.5525
887,747.07
888,747.48
889,747.5
890,747.89
891,748.1792
892,748.59
893,749.0375
894,749.459
895,748.84
896,748.59
897,748.71
898,748.93
899,748.6499999999999
900,749.1
901,749.4075
902,749.5399999999997
903,748.87
904,748.85
905,748.87
906,748.19
907,748.0299999999999
908,747.63
909,746.62
910,746.74
911,746.94
912,747.466
913,747.7
914,748.1289999999997
915,748.02
916,747.85
917,747.9099999999999
918,747.58
919,747.9868
920,747.31
921,747.33
922,747.3810000000003
923,747.62
924,747.3583
925,747.52
926,747.52
927,747.125
928,747.32
929,747.25
930,747.3999999999999
931,747.38
932,747.61
933,747.45
934,747.37
935,747.2899999999997
936,747.2999999999997
937,747.26
938,747.2999999999997
939,747.202
940,747.2710000000003
941,747.3999999999999
942,747.45
943,747.56
944,747.705
945,747.3222
946,747.4946
947,747.3999999999999
948,747.26
949,747.2749999999999
950,747.4099999999999
951,747.345
952,747.335
953,747.5
954,747.4239
955,747.48
956,747.5177999999999
957,747.383
958,747.45
959,747.48
960,747.715
961,747.3999999999999
962,747.5299999999999
963,747.865
964,748.0
965,748.08
966,748.14
967,747.93
968,748.0299999999999
969,747.71
970,747.88
971,747.6812
972,747.5499999999997
973,747.69
974,747.48
975,747.6024
976,747.4489999999997
977,747.2
978,746.81
979,746.45
980,746.25
981,745.81
982,745.4489999999997
983,744.7899999999997
984,744.3960000000003
985,744.1599999999999
986,743.75
987,743.51
988,743.31
989,743.11
990,743.52
991,743.19
992,743.14
993,743.47
994,743.7
995,743.7684
996,743.95
997,743.9199999999997
998,743.51
999,743.22
1000,742.7061999999999
1001,743.0360000000003
1002,743.01
1003,742.64
1004,743.0234
1005,742.9040999999999
1006,743.1699999999997
1007,743.245
1008,743.3999999999999
1009,743.36
1010,743.5
1011,743.4199999999997
1012,742.9841
1013,742.8999999999999
1014,742.77
1015,742.9199999999997
1016,743.145
1017,743.695
1018,744.2192
1019,744.5401
1020,744.74
1021,744.5675999999999
1022,744.685
1023,744.7414999999999
1024,744.58
1025,744.5399999999997
1026,744.72
1027,744.64
1028,744.59
1029,744.64
1030,744.5399999999997
1031,744.07
1032,744.2849999999999
1033,744.14
1034,744.35
1035,744.2919999999997
1036,744.52
1037,744.57
1038,744.575
1039,744.515
1040,744.2799999999999
1041,744.1058
1042,744.2215999999999
1043,743.93
1044,743.83
1045,743.4885
1046,743.72
1047,743.9199999999997
1048,744.06
1049,744.195
1050,744.5
1051,744.69
1052,745.1599999999999
1053,745.5399999999997
1054,745.69
1055,745.6
1056,745.2
1057,745.2912
1058,745.49
1059,745.6
1060,745.685
1061,745.7
1062,746.09
1063,745.6815
1064,745.6400999999997
1065,745.58
1066,745.57
1067,746.1
1068,746.76
1069,746.9099999999999
1070,747.09
1071,747.1812
1072,747.5399999999997
1073,748.005
1074,747.9984
1075,747.7576
1076,747.84
1077,747.71
1078,747.61
1079,747.2999999999997
1080,747.615
1081,747.63
1082,747.6499999999999
1083,747.63
1084,747.84
1085,747.6712
1086,747.84
1087,747.98
1088,748.25
1089,748.2360000000001
1090,748.31
1091,748.265
1092,748.69
1093,748.5927
1094,748.5
1095,748.59
1096,748.72
1097,748.8411
1098,748.845
1099,748.2849999999999
1100,748.2999999999997
1101,748.5
1102,748.7700999999997
1103,748.6599999999999
1104,748.56
1105,748.38
1106,748.07
1107,747.6599999999999
1108,747.4199999999997
1109,747.5
1110,747.76
1111,748.334
1112,748.2360000000001
1113,748.44
1114,748.9085
1115,749.34
1116,749.47
1117,749.35
1118,749.27
1119,749.5725
1120,749.7799999999999
1121,749.31
1122,749.6599999999999
1123,749.85
1124,750.01
1125,750.441
1126,750.74
1127,750.25
1128,750.56
1129,750.965
1130,751.0499999999997
1131,751.6
1132,751.73
1133,751.7
1134,751.7499
1135,751.4285999999997
1136,751.4087
1137,751.6699999999997
1138,752.27
1139,751.98
1140,752.2550999999999
1141,752.14
1142,752.19
1143,751.8293999999999
1144,752.1499999999999
1145,752.4262
1146,752.45
1147,752.6339
1148,752.6699999999997
1149,752.48
1150,752.6599999999999
1151,752.555
1152,752.21
1153,751.7928
1154,752.1225
1155,752.3999999999999
1156,752.21
1157,752.0299999999999
1158,752.0499999999997
1159,752.47
1160,752.6
1161,752.43
1162,752.36
1163,752.75
1164,753.24
1165,752.82
1166,752.7399
1167,752.84
1168,752.88
1169,752.625
1170,752.61
1171,763.7899999999997
1172,764.4901
1173,762.3989999999999
1174,760.7617
1175,758.0299999999999
1176,757.735
1177,756.9004999999999
1178,756.7899999999997
1179,758.1425
1180,757.835
1181,759.64
1182,759.0299999999999
1183,760.591
1184,762.3995999999999
1185,763.7
1186,762.9780000000003
1187,761.1501
1188,761.02
1189,760.2799999999999
1190,761.138
1191,760.7
1192,760.5
1193,761.22
1194,761.8999999999999
1195,759.71
1196,759.985
1197,760.44
1198,758.2799999999999
1199,759.5449999999997
1200,758.7999999999997
1201,758.7899999999997
1202,759.22
1203,758.4049999999999
1204,756.68
1205,756.52
1206,757.47
1207,756.88
1208,757.35
1209,758.7745999999999
1210,759.145
1211,759.44
1212,759.39
1213,760.671
1214,761.06
1215,760.93
1216,759.461
1217,758.3999999999999
1218,758.14
1219,758.6916
1220,759.4199999999997
1221,760.0499999999997
1222,760.27
1223,759.59
1224,760.5
1225,760.2274999999997
1226,759.87
1227,760.1499999999999
1228,760.1
1229,761.2
1230,762.3411999999997
1231,761.89
1232,761.9101
1233,761.7999999999997
1234,760.7799999999999
1235,761.56
1236,762.1699999999997
1237,762.89
1238,762.6360000000003
1239,763.0299999999999
1240,763.1
1241,761.8374
1242,762.4454
1243,762.2101
1244,761.2600999999999
1245,761.7899999999997
1246,761.4932999999999
1247,761.71
1248,761.4507999999997
1249,761.82
1250,761.9099999999999
1251,762.3999999999999
1252,762.43
1253,762.85
1254,763.8766
1255,763.9199999999997
1256,763.995
1257,763.87
1258,763.49
1259,763.7917999999999
1260,764.32
1261,764.7999999999997
1262,764.97
1263,764.8999999999999
1264,764.85
1265,764.9199999999997
1266,764.7230000000003
1267,764.89
1268,764.76
1269,765.1699999999997
1270,765.27
1271,765.6499999999999
1272,764.471
1273,765.0
1274,764.6699999999997
1275,764.3301
1276,764.1859
1277,764.3198999999997
1278,763.88
1279,764.0110000000003
1280,763.94
1281,764.1811
1282,763.2610000000003
1283,763.904
1284,764.0325
1285,764.09
1286,764.13
1287,763.9199999999997
1288,763.99
1289,763.93
1290,763.86
1291,763.81
1292,764.27
1293,764.27
1294,764.5299999999999
1295,764.48
1296,764.4199999999997
1297,764.5110000000003
1298,764.605
1299,764.6
1300,764.94
1301,764.68
1302,764.11
1303,764.18
1304,764.12
1305,764.5
1306,764.13
1307,764.5
1308,764.5212
1309,764.7799
1310,764.69
1311,764.5739999999997
1312,764.74
1313,764.205
1314,764.57
1315,764.57
1316,764.865
1317,765.245
1318,765.36
1319,765.0499999999997
1320,765.1699999999997
1321,765.1699999999997
1322,765.5
1323,765.7
1324,765.58
1325,765.72
1326,765.75
1327,765.64
1328,765.39
1329,765.44
1330,765.38
1331,765.3125999999999
1332,765.19
1333,764.9889999999997
1334,765.02
1335,765.1466
1336,765.25
1337,765.4387
1338,765.541
1339,765.86
1340,765.63
1341,765.345
1342,765.5299999999999
1343,765.63
1344,765.6599999999999
1345,765.36
1346,765.1599999999999
1347,765.25
1348,764.74
1349,764.6499999999999
1350,763.86
1351,764.0260000000003
1352,763.8116999999999
1353,763.87
1354,763.9199999999997
1355,763.9273
1356,763.87
1357,764.1
1358,764.0286
1359,763.71
1360,763.9199999999997
1361,763.81
1362,764.0
1363,763.5127999999999
1364,763.5
1365,763.61
1366,763.38
1367,763.5
1368,763.45
1369,762.51
1370,762.5535
1371,762.58
1372,762.4989999999997
1373,761.7949999999997
1374,761.877
1375,761.645
1376,761.6699999999997
1377,762.5
1378,762.8999999999999
1379,762.47
1380,762.21
1381,761.9199999999997
1382,761.8793
1383,762.06
1384,761.89
1385,762.0
1386,761.81
1387,761.62
1388,762.25
1389,762.2355
1390,762.0111
1391,762.2481
1392,761.99
1393,762.12
1394,762.18
1395,762.11
1396,762.0499999999997
1397,762.1200999999999
1398,761.88
1399,761.71
1400,761.7999999999997
1401,761.97
1402,762.1
1403,762.2500999999999
1404,762.11
1405,762.07
1406,762.395
1407,762.2555999999997
1408,762.1499999999999
1409,762.33
1410,762.26
1411,761.82
1412,761.56
1413,761.7738
1414,762.0501
1415,762.648
1416,762.6889999999999
1417,762.38
1418,761.75
1419,762.0
1420,762.0
1421,761.75
1422,761.6
1423,761.7227
1424,761.7999999999997
1425,761.8411999999997
1426,761.85
1427,761.43
1428,761.495
1429,761.7
1430,761.7
1431,761.7999999999997
1432,761.7260000000001
1433,761.7999999999997
1434,761.6699999999997
1435,761.68
1436,761.68
1437,761.62
1438,761.19
1439,760.6699999999997
1440,760.7799999999999
1441,760.5
1442,760.71
1443,760.48
1444,760.4199999999997
1445,760.7289999999997
1446,760.6354999999999
1447,760.37
1448,760.36
1449,760.73
1450,760.89
1451,760.6599999999999
1452,760.81
1453,761.1499999999999
1454,761.13
1455,760.5399999999997
1456,760.75
1457,760.38
1458,760.1258
1459,760.19
1460,760.22
1461,760.1499999999999
1462,760.19
1463,760.14
1464,760.1
1465,760.1599999999999
1466,760.07
1467,758.87
1468,758.2849999999999
1469,758.39
1470,758.2999999999997
1471,758.51
1472,758.58
1473,758.93
1474,759.2568
1475,759.0
1476,758.83
1477,758.855
1478,758.2999999999997
1479,758.18
1480,758.48
1481,758.6599999999999
1482,758.6599999999999
1483,758.6599999999999
1484,758.6625
1485,758.6699999999997
1486,758.581
1487,758.2799999999999
1488,758.33
1489,758.14
1490,758.01
1491,758.2253
1492,758.6499999999999
1493,758.27
1494,758.2
1495,758.21
1496,758.62
1497,758.56
1498,758.49
1499,758.08
1500,758.2899999999997
1501,758.2799999999999
1502,758.1599999999999
1503,757.7
1504,757.7719999999997
1505,757.8189999999997
1506,757.52
1507,756.84
1508,756.6
1509,755.7899999999997
1510,756.5
1511,756.7899999999997
1512,756.793
1513,756.73
1514,756.2899999999997
1515,756.4689999999997
1516,757.0
1517,757.2799999999999
1518,757.01
1519,756.9099999999999
1520,756.9325999999999
1521,757.2999999999997
1522,757.5725999999999
1523,757.57
1524,757.61
1525,757.62
1526,757.93
1527,758.2
1528,758.32
1529,758.2
1530,758.7999999999997
1531,758.735
1532,759.0299999999999
1533,759.25
1534,759.4999
1535,759.145
1536,759.26
1537,759.1499999999999
1538,759.33
1539,759.105
1540,759.6489
1541,759.7999999999997
1542,760.178
1543,760.3599
1544,760.24
1545,760.98
1546,760.86
1547,760.95
1548,760.95
1549,760.9099999999999
1550,760.98
1551,760.27
1552,759.83
1553,760.12
1554,759.6
1555,759.37
1556,759.475
1557,759.1699999999997
1558,759.2799999999999
1559,760.12
1560,759.2799999999999
1561,760.225
1562,761.11
1563,761.0
1564,759.33
1565,759.14
1566,758.72
1567,759.145
1568,759.44
1569,760.6168
1570,761.1408
1571,761.0039999999997
1572,761.0449999999997
1573,761.37
1574,761.595
1575,761.2999999999997
1576,762.7
1577,764.1889999999999
1578,764.1649999999997
1579,763.32
1580,764.0
1581,764.0499999999997
1582,764.9199999999997
1583,764.68
1584,764.69
1585,762.9099999999999
1586,762.72
1587,763.105
1588,763.4099999999999
1589,763.3999999999999
1590,763.0299999999999
1591,763.2999999999997
1592,763.99
1593,763.735
1594,763.62
1595,762.7999999999997
1596,763.24
1597,763.6252
1598,764.21
1599,764.75
1600,764.4874999999997
1601,764.7799999999999
1602,764.1699999999997
1603,764.455
1604,764.555
1605,764.7799999999999
1606,765.45
1607,766.6749999999997
1608,766.7899999999997
1609,767.44
1610,767.43
1611,766.39
1612,766.64
1613,767.3488
1614,767.76
1615,768.1064
1616,768.61
1617,768.5299999999999
1618,768.56
1619,768.37
1620,768.6260000000003
1621,768.83
1622,769.19
1623,769.49
1624,769.715
1625,769.34
1626,769.0499999999997
1627,769.2283
1628,769.0908
1629,768.735
1630,768.68
1631,768.64
1632,769.0
1633,769.76
1634,770.0
1635,770.273
1636,769.95
1637,769.5499999999997
1638,769.7860000000003
1639,769.558
1640,769.8999999999999
1641,769.61
1642,770.2699
1643,770.1599999999999
1644,769.97
1645,770.1649999999997
1646,770.45
1647,770.01
1648,770.182
1649,770.002
1650,770.1699999999997
1651,769.73
1652,769.6499999999999
1653,769.22
1654,769.0200999999997
1655,768.711
1656,769.061
1657,768.74
1658,769.1499999999999
1659,769.075
1660,769.46
1661,770.1896
1662,769.88
1663,769.76
1664,769.49
1665,769.7029999999999
1666,769.12
1667,769.07
1668,769.18
1669,769.1610000000003
1670,769.5499999999997
1671,769.35
1672,769.2289999999997
1673,768.34
1674,768.5
1675,768.5666
1676,768.5399999999997
1677,768.88
1678,769.0145
1679,768.83
1680,768.31
1681,768.38
1682,768.46
1683,767.89
1684,768.01
1685,767.61
1686,767.6699999999997
1687,767.4199999999997
1688,767.385
1689,767.45
1690,767.5193
1691,767.8542999999999
1692,767.9989999999997
1693,768.4199999999997
1694,768.6
1695,768.52
1696,768.73
1697,768.885
1698,768.96
1699,769.07
1700,769.25
1701,768.4724999999999
1702,768.36
1703,768.56
1704,768.2899999999997
1705,768.39
1706,768.2
1707,768.317
1708,768.32
1709,768.2999999999997
1710,768.06
1711,767.95
1712,767.71
1713,767.73
1714,767.585
1715,767.5874999999999
1716,767.27
1717,767.35
1718,767.561
1719,767.0012
1720,766.3786
1721,766.375
1722,766.1499999999999
1723,766.061
1724,766.0
1725,765.96
1726,766.0
1727,765.9316
1728,765.801
1729,765.52
1730,765.635
1731,765.25
1732,765.33
1733,765.43
1734,765.5544
1735,765.8657
1736,766.46
1737,766.085
1738,765.99
1739,766.19
1740,766.6
1741,766.56
1742,766.6438
1743,767.2849999999999
1744,767.7899999999997
1745,768.0399999999997
1746,768.115
1747,767.9699
1748,768.6549999999999
1749,768.86
1750,768.52
1751,768.27
1752,768.19
1753,768.3999999999999
1754,768.495
1755,768.31
1756,767.82
1757,767.89
1758,768.1499999999999
1759,768.32
1760,768.06
1761,768.12
1762,768.115
1763,768.548
1764,768.6504999999999
1765,768.7
1766,768.565
1767,768.27
1768,768.49
1769,768.27
1770,768.3768
1771,768.6495
1772,768.3624999999997
1773,768.24
1774,768.26
1775,768.01
1776,767.39
1777,767.6
1778,768.245
1779,767.87
1780,767.8
1781,767.73
1782,768.1982
1783,768.2
1784,768.7
1785,768.565
1786,768.75
1787,768.7114
1788,768.6499999999999
1789,768.3451999999999
1790,768.4275
1791,768.6798999999999
1792,768.76
1793,768.7887
1794,768.7899999999997
1795,768.568
1796,768.4099999999999
1797,768.2
1798,768.4514
1799,768.5
1800,768.89
1801,769.01
1802,768.59
1803,768.69
1804,768.551
1805,768.72
1806,768.95
1807,768.895
1808,769.11
1809,768.71
1810,768.568
1811,768.13
1812,767.8999999999999
1813,768.4289999999999
1814,767.9199999999997
1815,768.0499999999997
1816,768.0399999999997
1817,767.95
1818,768.13
1819,768.4199999999997
1820,767.95
1821,767.74
1822,767.4624999999999
1823,767.88
1824,767.38
1825,767.5399999999997
1826,767.2799999999999
1827,767.6499999999999
1828,767.96
1829,768.5
1830,768.7799999999999
1831,768.94
1832,769.07
1833,768.99
1834,768.789
1835,768.7989999999999
1836,768.93
1837,768.6
1838,768.2710000000003
1839,768.49
